"id","name","colour","date",
"90","<h5>Added functionality to delete user->group mapping @ the mapping table</h5>","spanyel","2014-11-06 11:35:45",
"89","<h5>generate mapping table and users by groups table @ index</h5>","spanyel","2014-11-06 11:35:33",
"88","<h5>Finished Database statistics print</h5>","spanred","2014-11-06 11:06:26",
"87","<h5>Fixed BUG @ user/views/edit_user.php | When saving a user with a empty detail type , it now deletes the old value from the database</h5>","spanred","2014-11-06 11:06:13",
"86","<h5>Fix Bug @ : detail_type/edit?name=rew .</h5>","spanyel","2014-11-06 09:44:51",
"85","<h5>User Detail Types  implemented</h5>","spanred","2014-11-06 09:13:32",
"84","<h4>Implemented jQuery front-end validations functionality.</h4>","spanred","2014-11-06 09:12:27",
"83","<h5>Add Changelog Functionality + Fixes</h5>","spanred","2014-11-05 12:42:59",
"79","<h5>Editing Group bugfixes</h5>","spanred","2014-11-05 12:35:41",
"78","<h5>View User Functionality</h5>","spanred","2014-11-05 12:35:30",
"77","<h5>Editing User Functionality</h5>","spanred","2014-11-05 12:35:24",
"76","<h5>implemented listing groups table</h5>","spanyel","2014-11-04 09:45:27",
"75","<h5>id from Database.Groups set to auto-increment !</h5>","spanyel","2014-11-04 09:26:08",
"73","<h5>Implemented Codeigniter UserGroups Changelog (the day before this post)</h5>","spanred","2014-11-04 08:38:43",
